station_id,name,short_name,latitude,longitude,region_id,rental_methods,capacity,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,eightd_has_available_keys,eightd_has_key_dispenser
3326,Clinton St & Centre St,4045.01,40.67434,-74.00194698,71,"CREDITCARD,KEY",21,20,0,1,0,true,true,true,2018-10-09T00:00:00,false,false
417,Barclay St & Church St,5216.04,40.71291224,-74.01020234,71,"CREDITCARD,KEY",23,22,0,1,0,true,true,true,2018-10-09T00:00:00,false,false
3648,Flushing Ave & Vanderbilt Ave,4762.05,40.6979503157,-73.9707756042,71,"CREDITCARD,KEY",25,23,1,1,0,true,true,true,2018-10-09T00:00:00,false,false
335,Washington Pl & Broadway,5755.01,40.72903917,-73.99404649,71,"CREDITCARD,KEY",27,22,4,1,0,true,true,true,2018-10-09T00:00:00,false,false
268,Howard St & Centre St,5422.04,40.71910537,-73.99973337,71,"CREDITCARD,KEY",27,23,3,1,0,true,true,true,2018-10-09T00:00:00,false,false
212,W 16 St & The High Line,6233.05,40.74334935,-74.00681753,71,"CREDITCARD,KEY",28,26,1,1,0,true,true,true,2018-10-09T00:00:00,false,false
315,South St & Gouverneur Ln,4953.04,40.70355377,-74.00670227,71,"CREDITCARD,KEY",29,28,0,1,0,true,true,true,2018-10-09T00:00:00,false,false
303,Mercer St & Spring St,5532.01,40.72362738,-73.99949601,71,"CREDITCARD,KEY",31,27,3,1,0,true,true,true,2018-10-09T00:00:00,false,false
440,E 45 St & 3 Ave,6464.08,40.75255434,-73.97282625,71,"CREDITCARD,KEY",32,30,1,1,0,true,true,true,2018-10-09T00:00:00,false,false
392,Jay St & Tech Pl,4710.06,40.695065,-73.987167,71,"CREDITCARD,KEY",35,31,3,1,0,true,true,true,2018-10-09T00:00:00,false,false
3474,6 Ave & Spring St,5610.10,40.7252556953,-74.0041208267,71,"CREDITCARD,KEY",36,34,1,1,0,true,true,true,2018-10-09T00:00:00,false,false
337,Old Slip & Front St,4993.12,40.7037992,-74.00838676,71,"CREDITCARD,KEY",37,34,2,1,0,true,true,true,2018-10-09T00:00:00,false,false
387,Centre St & Chambers St,5207.01,40.71273266,-74.0046073,71,"CREDITCARD,KEY",39,37,1,1,0,true,true,true,2018-10-09T00:00:00,false,false
259,South St & Whitehall St,4846.01,40.70122128,-74.01234218,71,"CREDITCARD,KEY",39,35,3,1,0,true,true,true,2018-10-09T00:00:00,true,true
257,Lispenard St & Broadway,5391.06,40.71939226,-74.00247214,71,"CREDITCARD,KEY",39,37,1,1,0,true,true,true,2018-10-09T00:00:00,false,false
309,Murray St & West St,5329.06,40.7149787,-74.013012,71,"CREDITCARD,KEY",41,38,2,1,0,true,true,true,2018-10-09T00:00:00,false,false
484,W 44 St & 5 Ave,6551.02,40.75500254,-73.98014437,71,"CREDITCARD,KEY",44,40,3,1,0,true,true,true,2018-10-09T00:00:00,false,false
3641,Broadway & W 25 St,6173.08,40.7428687731,-73.9891862869,71,"CREDITCARD,KEY",54,49,4,1,0,true,true,true,2018-10-09T00:00:00,false,false
