"BehaviorSpace results (NetLogo 6.0.4)"
"BSS.nlogo"
"Status-based_45_timestep1min_rep10"
"11/23/2018 15:44:55:639 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-6","6","-6","6"
"[run number]","sim_timestep_minutes","num_trucks","duration_to_pick","duration_to_drop","truck_capacity","truck_speed","wait_for_demo?","rebalancing_method","wait_time","pct_station_capacity_to_drop","pct_station_capacity_to_pick","truck_movement","shortage_threshold","days_to_simulate","[step]","simulated_out_of_bikes_count","simulated_out_of_docks_count","sim_elapsed_hours"
"105","1","2","5","5","20","0.27","false","Status-based","0.05","30","50","Asynchronized","3","7","10078","304","50","168"
"106","1","2","5","5","20","0.27","false","Status-based","0.05","30","50","Asynchronized","3","7","10078","282","47","168"
"107","1","2","5","5","20","0.27","false","Status-based","0.05","30","50","Asynchronized","3","7","10078","339","34","168"
"108","1","2","5","5","20","0.27","false","Status-based","0.05","30","50","Asynchronized","3","7","10078","332","42","168"
"109","1","2","5","5","20","0.27","false","Status-based","0.05","30","50","Asynchronized","3","7","10078","218","53","168"
"110","1","2","5","5","20","0.27","false","Status-based","0.05","30","50","Asynchronized","3","7","10078","347","53","168"
"111","1","2","5","5","20","0.27","false","Status-based","0.05","30","70","Asynchronized","3","7","10078","341","47","168"
"112","1","2","5","5","20","0.27","false","Status-based","0.05","30","70","Asynchronized","3","7","10078","278","64","168"
"113","1","2","5","5","20","0.27","false","Status-based","0.05","30","70","Asynchronized","3","7","10078","296","68","168"
"114","1","2","5","5","20","0.27","false","Status-based","0.05","30","70","Asynchronized","3","7","10078","295","35","168"
"115","1","2","5","5","20","0.27","false","Status-based","0.05","30","70","Asynchronized","3","7","10078","264","51","168"
"116","1","2","5","5","20","0.27","false","Status-based","0.05","30","70","Asynchronized","3","7","10078","350","33","168"
"117","1","2","5","5","20","0.27","false","Status-based","0.05","30","70","Asynchronized","3","7","10078","264","67","168"
"118","1","2","5","5","20","0.27","false","Status-based","0.05","30","70","Asynchronized","3","7","10078","301","42","168"
"119","1","2","5","5","20","0.27","false","Status-based","0.05","30","70","Asynchronized","3","7","10078","252","47","168"
"120","1","2","5","5","20","0.27","false","Status-based","0.05","30","70","Asynchronized","3","7","10078","291","62","168"
"121","1","2","5","5","20","0.27","false","Status-based","0.05","50","30","Asynchronized","3","7","10078","313","49","168"
"122","1","2","5","5","20","0.27","false","Status-based","0.05","50","30","Asynchronized","3","7","10078","261","42","168"
"123","1","2","5","5","20","0.27","false","Status-based","0.05","50","30","Asynchronized","3","7","10078","296","39","168"
"124","1","2","5","5","20","0.27","false","Status-based","0.05","50","30","Asynchronized","3","7","10078","320","44","168"
"125","1","2","5","5","20","0.27","false","Status-based","0.05","50","30","Asynchronized","3","7","10078","319","46","168"
"126","1","2","5","5","20","0.27","false","Status-based","0.05","50","30","Asynchronized","3","7","10078","351","35","168"
"127","1","2","5","5","20","0.27","false","Status-based","0.05","50","30","Asynchronized","3","7","10078","310","53","168"
"128","1","2","5","5","20","0.27","false","Status-based","0.05","50","30","Asynchronized","3","7","10078","257","55","168"
"129","1","2","5","5","20","0.27","false","Status-based","0.05","50","30","Asynchronized","3","7","10078","302","56","168"
"130","1","2","5","5","20","0.27","false","Status-based","0.05","50","30","Asynchronized","3","7","10078","320","52","168"
"131","1","2","5","5","20","0.27","false","Status-based","0.05","50","50","Asynchronized","3","7","10078","258","48","168"
"132","1","2","5","5","20","0.27","false","Status-based","0.05","50","50","Asynchronized","3","7","10078","224","58","168"
"133","1","2","5","5","20","0.27","false","Status-based","0.05","50","50","Asynchronized","3","7","10078","265","68","168"
"134","1","2","5","5","20","0.27","false","Status-based","0.05","50","50","Asynchronized","3","7","10078","290","37","168"
"135","1","2","5","5","20","0.27","false","Status-based","0.05","50","50","Asynchronized","3","7","10078","363","49","168"
"136","1","2","5","5","20","0.27","false","Status-based","0.05","50","50","Asynchronized","3","7","10078","256","66","168"
"137","1","2","5","5","20","0.27","false","Status-based","0.05","50","50","Asynchronized","3","7","10078","247","50","168"
"138","1","2","5","5","20","0.27","false","Status-based","0.05","50","50","Asynchronized","3","7","10078","277","59","168"
"139","1","2","5","5","20","0.27","false","Status-based","0.05","50","50","Asynchronized","3","7","10078","252","60","168"
"140","1","2","5","5","20","0.27","false","Status-based","0.05","50","50","Asynchronized","3","7","10078","313","58","168"
