station_id_source,station_id_target,interstation_distance,interstation_distance_rank
4,58,1.1630550589790558,14
4,54,1.1835485142899433,15
4,13,1.3105815980014106,16
4,35,1.3474786681133017,17
4,46,1.3540012641344015,18
4,22,1.3825824979431784,19
4,52,1.3959810849366618,20
4,51,1.405358749285341,21
4,55,1.5362461333132178,22
4,48,1.721561459140993,23
4,60,1.7257292826622197,24
4,5,1.7404513761017353,25
4,64,1.766946080510101,26
4,53,1.7768718058948274,27
4,23,1.7975975440082217,28
4,6,1.8035037087154153,29
4,12,1.8787753681820243,30
4,85,1.9230216312383182,31
4,44,1.9876020855877101,32
4,43,2.0330196142864705,33
4,24,2.114540381511598,34
4,65,2.1155131549735198,35
4,20,2.1803380702627266,36
4,83,2.1818870039626432,37
4,56,2.221070247030109,38
4,47,2.2338273087806093,39
4,7,2.2436813966521942,40
4,72,2.254831544182041,41
4,33,2.2789206149210353,42
4,31,2.327969911800553,43
4,45,2.3300474102770274,44
4,67,2.4016330483092725,45
4,38,2.4244065744012047,46
4,84,2.463734007277765,47
4,34,2.493217090095601,48
4,80,2.5405190539390725,49
4,40,2.568457011704258,50
4,27,2.5774269032559642,51
4,3,2.639020837714648,52
4,32,2.691748198015653,53
4,90,2.8782151160825005,54
4,14,2.882791812023664,55
4,91,2.9477742660274475,56
4,19,2.9932720667062935,57
4,10,3.0333526308287277,58
4,98,3.037472451011092,59
4,11,3.130911091850914,60
4,93,3.157874089051769,61
4,30,3.192197106814329,62
4,75,3.2426360567797463,63
4,62,3.369639299321188,64
4,94,3.3811118717560147,65
4,68,3.5196960602121865,66
4,95,3.683422917331779,67
4,76,3.767873360894615,68
4,9,3.892227473216763,69
4,86,4.086258633052436,70
4,88,4.122007964002173,71
4,78,4.353540738579007,72
4,87,4.365924842435259,73
4,82,4.392219319953824,74
4,69,4.446906272494905,75
4,41,4.531833116505939,76
4,96,4.618484168439016,77
4,92,4.6604529004756055,78
4,17,4.661081179171353,79
4,97,4.724470388027326,80
4,79,4.7770004056811874,81
4,29,4.964455947298388,82
4,77,5.064643272736004,83
4,74,5.085178407485478,84
4,73,5.234788801433365,85
4,70,5.2359478506749,86
4,71,5.255133227410182,87
4,66,5.318013230032678,88
4,18,5.34487181397849,89
4,89,5.5799348838257465,90
4,8,5.64729630780409,91
4,15,5.918699542619728,92
4,37,6.46629289922183,93
5,46,0.4185008223348283,0
5,55,0.6295355342095704,1
5,12,0.6702125099701777,2
5,45,0.7141522444154266,3
5,57,0.7181783613405588,4
5,21,0.7773690147650487,5
5,52,0.8421193807332293,6
5,3,0.8985842827483056,7
5,34,0.9327219899773375,8
5,61,0.9514231621143938,9
5,33,0.9725169668764424,10
5,53,1.00412037188806,11
5,32,1.0193134119854925,12
5,25,1.0999433562463192,13
5,14,1.1607110676716694,14
5,51,1.195025187995298,15
5,27,1.1985391036422934,16
5,16,1.312814586182007,17
5,39,1.365101497360741,18
5,36,1.373970341148165,19
5,11,1.3907334212923756,20
5,19,1.4372044798087373,21
5,30,1.5086570441574159,22
5,13,1.5854362844648155,23
5,10,1.5864244743916462,24
5,56,1.6145083455311244,25
5,62,1.636049122163824,26
5,50,1.7014827174181901,27
5,4,1.7404513761017353,28
5,26,1.752006322740694,29
