[run number],sim_timestep_minutes,num_trucks,duration_to_pick,duration_to_drop,truck_capacity,truck_speed,wait_for_demo?,rebalancing_method,wait_time,pct_station_capacity_to_drop,pct_station_capacity_to_pick,truck_movement,shortage_threshold,days_to_simulate,[step],simulated_out_of_bikes_count,simulated_out_of_docks_count,sim_elapsed_hours
92,1,2,5,5,20,0.27,False,Status-based,0.05,30.0,30.0,Asynchronized,3,7,10078,120,13,168
93,1,3,5,5,20,0.27,False,Status-based,0.05,30.0,30.0,Asynchronized,3,7,10078,146,16,168
94,1,4,5,5,20,0.27,False,Status-based,0.05,30.0,30.0,Asynchronized,3,7,10078,165,12,168
95,1,5,5,5,20,0.27,False,Status-based,0.05,30.0,30.0,Asynchronized,3,7,10078,157,5,168
96,1,1,5,5,20,0.27,False,Status-based,0.05,50.0,30.0,Asynchronized,3,7,10078,468,41,168
97,1,2,5,5,20,0.27,False,Status-based,0.05,50.0,30.0,Asynchronized,3,7,10078,145,16,168
98,1,3,5,5,20,0.27,False,Status-based,0.05,50.0,30.0,Asynchronized,3,7,10078,130,21,168
99,1,4,5,5,20,0.27,False,Status-based,0.05,50.0,30.0,Asynchronized,3,7,10078,112,27,168
100,1,5,5,5,20,0.27,False,Status-based,0.05,50.0,30.0,Asynchronized,3,7,10078,140,14,168
101,1,1,5,5,20,0.27,False,Status-based,0.05,70.0,30.0,Asynchronized,3,7,10078,368,65,168
102,1,2,5,5,20,0.27,False,Status-based,0.05,70.0,30.0,Asynchronized,3,7,10078,200,16,168
103,1,3,5,5,20,0.27,False,Status-based,0.05,70.0,30.0,Asynchronized,3,7,10078,114,21,168
104,1,4,5,5,20,0.27,False,Status-based,0.05,70.0,30.0,Asynchronized,3,7,10078,153,12,168
105,1,5,5,5,20,0.27,False,Status-based,0.05,70.0,30.0,Asynchronized,3,7,10078,162,22,168
106,1,1,5,5,20,0.27,False,Status-based,0.05,30.0,50.0,Asynchronized,3,7,10078,494,66,168
107,1,2,5,5,20,0.27,False,Status-based,0.05,30.0,50.0,Asynchronized,3,7,10078,180,20,168
108,1,3,5,5,20,0.27,False,Status-based,0.05,30.0,50.0,Asynchronized,3,7,10078,178,15,168
109,1,4,5,5,20,0.27,False,Status-based,0.05,30.0,50.0,Asynchronized,3,7,10078,233,13,168
110,1,5,5,5,20,0.27,False,Status-based,0.05,30.0,50.0,Asynchronized,3,7,10078,230,9,168
111,1,1,5,5,20,0.27,False,Status-based,0.05,50.0,50.0,Asynchronized,3,7,10078,421,79,168
112,1,2,5,5,20,0.27,False,Status-based,0.05,50.0,50.0,Asynchronized,3,7,10078,258,48,168
113,1,3,5,5,20,0.27,False,Status-based,0.05,50.0,50.0,Asynchronized,3,7,10078,236,63,168
114,1,4,5,5,20,0.27,False,Status-based,0.05,50.0,50.0,Asynchronized,3,7,10078,254,97,168
115,1,5,5,5,20,0.27,False,Status-based,0.05,50.0,50.0,Asynchronized,3,7,10078,398,73,168
116,1,1,5,5,20,0.27,False,Status-based,0.05,70.0,50.0,Asynchronized,3,7,10078,477,66,168
117,1,2,5,5,20,0.27,False,Status-based,0.05,70.0,50.0,Asynchronized,3,7,10078,255,53,168
118,1,3,5,5,20,0.27,False,Status-based,0.05,70.0,50.0,Asynchronized,3,7,10078,263,68,168
119,1,4,5,5,20,0.27,False,Status-based,0.05,70.0,50.0,Asynchronized,3,7,10078,248,111,168
120,1,5,5,5,20,0.27,False,Status-based,0.05,70.0,50.0,Asynchronized,3,7,10078,338,112,168
121,1,1,5,5,20,0.27,False,Status-based,0.05,30.0,70.0,Asynchronized,3,7,10078,403,26,168
122,1,2,5,5,20,0.27,False,Status-based,0.05,30.0,70.0,Asynchronized,3,7,10078,199,12,168
123,1,3,5,5,20,0.27,False,Status-based,0.05,30.0,70.0,Asynchronized,3,7,10078,180,13,168
124,1,4,5,5,20,0.27,False,Status-based,0.05,30.0,70.0,Asynchronized,3,7,10078,204,10,168
125,1,5,5,5,20,0.27,False,Status-based,0.05,30.0,70.0,Asynchronized,3,7,10078,315,11,168
